label,V,E,P,rounds,t_dist,t_solve,t_comm,t_total,comm_pct,verify
small,10000,49994,0,0,0.000000,0.000586,0.000000,0.000586,0.00,-
small,10000,49994,1,2,0.000253,0.000815,0.000002,0.001069,0.27,-
small,10000,49994,2,2,0.000260,0.000555,0.000066,0.000815,11.84,-
small,10000,49994,4,3,0.000230,0.000682,0.000300,0.000912,43.98,-
small,10000,49994,8,3,0.000311,0.000485,0.000236,0.000796,48.71,-
medium,50000,249995,0,0,0.000000,0.002871,0.000000,0.002871,0.00,-
medium,50000,249995,1,2,0.001340,0.003987,0.000034,0.005327,0.85,-
medium,50000,249995,2,2,0.001141,0.002770,0.000441,0.003911,15.93,-
medium,50000,249995,4,3,0.000826,0.002386,0.000648,0.003211,27.16,-
medium,50000,249995,8,3,0.000853,0.002440,0.001205,0.003293,49.41,-
large,100000,999993,0,0,0.000000,0.007428,0.000000,0.007428,0.00,-
large,100000,999993,1,2,0.005362,0.008793,0.000043,0.014155,0.49,-
large,100000,999993,2,2,0.003547,0.006945,0.001844,0.010492,26.55,-
large,100000,999993,4,2,0.002861,0.004760,0.001560,0.007621,32.77,-
large,100000,999993,8,2,0.002955,0.004447,0.002366,0.007402,53.20,-
verylarge,100000,3999962,0,0,0.000000,0.023898,0.000000,0.023898,0.00,-
verylarge,100000,3999962,1,2,0.021561,0.018962,0.000047,0.040522,0.25,-
verylarge,100000,3999962,2,2,0.012436,0.012208,0.001695,0.024644,13.88,-
verylarge,100000,3999962,4,2,0.010484,0.008037,0.002338,0.018521,29.09,-
verylarge,100000,3999962,8,2,0.011400,0.009900,0.006114,0.021301,61.76,-
sparse,100000,50000,0,0,0.000000,0.002740,0.000000,0.002740,0.00,-
sparse,100000,50000,1,11,0.000750,0.012838,0.000136,0.013587,1.06,-
sparse,100000,50000,2,18,0.000793,0.013024,0.001821,0.013816,13.98,-
sparse,100000,50000,4,24,0.000676,0.018266,0.010135,0.018942,55.49,-
sparse,100000,50000,8,26,0.000639,0.020898,0.015544,0.021536,74.38,-
dense,20000,999947,0,0,0.000000,0.002731,0.000000,0.002731,0.00,-
dense,20000,999947,1,2,0.004970,0.003753,0.000007,0.008723,0.20,-
dense,20000,999947,2,2,0.003154,0.002247,0.000188,0.005402,8.37,-
dense,20000,999947,4,2,0.002330,0.001411,0.000281,0.003741,19.94,-
dense,20000,999947,8,2,0.002598,0.001919,0.001219,0.004517,63.50,-
nondiv,99991,499975,0,0,0.000000,0.005551,0.000000,0.005551,0.00,-
nondiv,99991,499975,1,3,0.002886,0.010628,0.000054,0.013514,0.51,-
nondiv,99991,499975,2,3,0.001929,0.007099,0.001186,0.009028,16.70,-
nondiv,99991,499975,4,3,0.001894,0.005162,0.001893,0.007056,36.67,-
nondiv,99991,499975,8,3,0.001504,0.005627,0.002741,0.007131,48.71,-
